,seg,dur,sex,type
78,s1,0.0262,M,WT
79,sil,0.0017,M,WT
80,s2,0.0598,M,WT
81,s1,0.0360,M,WT
82,sil,0.0052,M,WT
83,s2,0.0273,M,WT
84,s1,0.0200,M,WT
85,sil,0.0131,M,WT
86,s2,0.0598,M,WT
87,s1,0.0163,M,WT
88,sil,0.0093,M,WT
89,s2,0.0554,M,WT
90,s1,0.0283,M,WT
91,sil,0.0113,M,WT
92,s2,0.0214,M,WT
93,s1,0.0222,M,WT
94,sil,0.0070,M,WT
95,s2,0.0608,M,WT
96,s1,0.0186,F,WT
97,sil,0.0204,F,WT
98,s2,0.0150,F,WT
99,s1,0.0238,F,WT
100,sil,0.0136,F,WT
101,s2,0.0403,F,WT
102,s1,0.0288,F,WT
103,sil,0.0086,F,WT
104,s2,0.0485,F,WT
105,s1,0.0228,F,WT
106,sil,0.0181,F,WT
107,s2,0.0232,F,WT
108,s1,0.0209,F,WT
109,sil,0.0093,F,WT
110,s2,0.0128,F,WT
111,s1,0.0229,F,WT
112,sil,0.0174,F,WT
113,s2,0.0287,F,WT
114,s1,0.0257,F,WT
115,sil,0.0227,F,WT
116,s2,0.0156,F,WT
117,s1,0.0189,F,WT
118,sil,0.0168,F,WT
119,s2,0.0325,F,WT
120,s1,0.0231,F,WT
121,sil,0.0125,F,WT
122,s2,0.0175,F,WT
123,s1,0.0192,F,WT
124,sil,0.0227,F,WT
125,s2,0.0379,F,WT
126,s1,0.0232,F,WT
127,sil,0.0121,F,WT
128,s2,0.0151,F,WT
129,s1,0.0199,F,WT
130,sil,0.0154,F,WT
131,s2,0.0281,F,WT
132,s1,0.0260,F,WT
133,sil,0.0208,F,WT
134,s2,0.0441,F,WT
135,s1,0.0239,F,WT
136,sil,0.0177,F,WT
137,s2,0.0277,F,WT
138,s2,0.0279,F,WT
139,s1,0.0290,F,WT
140,sil,0.0209,F,WT
141,s2,0.0212,F,WT
142,s1,0.0233,F,WT
143,sil,0.0133,F,WT
144,s2,0.0435,F,WT
145,s1,0.0291,F,WT
146,sil,0.0194,F,WT
147,s2,0.0455,F,WT
148,s1,0.0233,F,WT
149,sil,0.0125,F,WT
150,s2,0.0452,F,WT
151,s1,0.0269,F,WT
152,sil,0.0173,F,WT
153,s2,0.0436,F,WT
154,s1,0.0261,F,WT
155,sil,0.0118,F,WT
156,s2,0.0374,F,WT
157,sil,0.0236,F,WT
158,s2,0.0297,F,WT
159,s1,0.0245,F,WT
160,sil,0.0158,F,WT
161,s2,0.0356,F,WT
162,s2,0.0340,F,WT
163,s1,0.0279,F,WT
164,sil,0.0102,F,WT
165,s2,0.0412,F,WT
166,s1,0.0293,F,WT
167,sil,0.0124,F,WT
168,s2,0.0329,F,WT
169,s1,0.0241,F,WT
170,sil,0.0142,F,WT
171,s2,0.0343,F,WT
172,s1,0.0294,F,WT
173,sil,0.0147,F,WT
174,s2,0.0297,F,WT
175,s1,0.0282,F,WT
176,sil,0.0128,F,WT
177,s2,0.0333,F,WT
178,s1,0.0194,F,WT
179,sil,0.0097,F,WT
180,s2,0.0154,F,WT
181,s1,0.0242,F,WT
182,sil,0.0143,F,WT
183,s2,0.0353,F,WT
184,s1,0.0234,F,WT
185,sil,0.0134,F,WT
186,s2,0.0141,F,WT
187,s1,0.0221,F,WT
188,sil,0.0072,F,WT
189,s2,0.0323,F,WT
190,s1,0.0202,F,WT
191,sil,0.0057,F,WT
192,s2,0.0185,F,WT
193,s1,0.0284,F,WT
194,sil,0.0160,F,WT
195,s2,0.0329,F,WT
196,s1,0.0204,F,WT
197,sil,0.0169,F,WT
198,s2,0.0145,F,WT
199,s1,0.0264,F,WT
200,sil,0.0164,F,WT
201,s2,0.0215,F,WT
202,s1,0.0213,F,WT
203,sil,0.0133,F,WT
204,s2,0.0440,F,WT
205,s1,0.0243,F,WT
206,sil,0.0114,F,WT
207,s2,0.0201,F,WT
208,s1,0.0178,F,WT
209,sil,0.0074,F,WT
210,s2,0.0444,F,WT
211,s1,0.0284,F,WT
212,sil,0.0156,F,WT
213,s2,0.0227,F,WT
214,s1,0.0221,F,WT
215,sil,0.0149,F,WT
216,s2,0.0475,F,WT
217,s1,0.0246,F,WT
218,sil,0.0147,F,WT
219,s2,0.0290,F,WT
220,s1,0.0223,F,WT
221,sil,0.0145,F,WT
222,s2,0.0417,F,WT
223,s1,0.0273,F,WT
224,sil,0.0108,F,WT
225,s2,0.0481,F,WT
226,s1,0.0250,F,WT
227,sil,0.0147,F,WT
228,s2,0.0409,F,WT
229,s1,0.0273,F,WT
230,sil,0.0069,F,WT
231,s2,0.0453,F,WT
232,s1,0.0294,F,WT
233,sil,0.0101,F,WT
234,s2,0.0431,F,WT
235,s1,0.0252,F,WT
236,sil,0.0120,F,WT
237,s2,0.0420,F,WT
238,s1,0.0244,F,WT
239,sil,0.0095,F,WT
240,s2,0.0442,F,WT
241,sil,0.0127,F,WT
242,s2,0.0485,F,WT
243,s1,0.0161,F,WT
244,sil,0.0112,F,WT
245,s2,0.0453,F,WT
