,seg,dur,sex,type
0,s1,0.0210,M,WT
1,sil,0.0131,M,WT
2,s2,0.0190,M,WT
3,s1,0.0259,M,WT
4,sil,0.0034,M,WT
5,s2,0.0553,M,WT
6,s1,0.0248,M,WT
7,sil,0.0158,M,WT
8,s2,0.0267,M,WT
9,s1,0.0170,M,WT
10,sil,0.0041,M,WT
11,s2,0.0507,M,WT
12,s1,0.0302,M,WT
13,sil,0.0059,M,WT
14,s2,0.0277,M,WT
15,s1,0.0238,M,WT
16,sil,0.0102,M,WT
17,s2,0.0603,M,WT
18,s1,0.0101,M,WT
19,sil,0.0143,M,WT
20,s2,0.0174,M,WT
21,s1,0.0219,M,WT
22,sil,0.0092,M,WT
23,s2,0.0584,M,WT
24,s1,0.0180,M,WT
25,sil,0.0130,M,WT
26,s2,0.0617,M,WT
27,s1,0.0157,M,WT
28,sil,0.0031,M,WT
29,s2,0.0484,M,WT
30,s1,0.0172,M,WT
31,sil,0.0153,M,WT
32,s2,0.0183,M,WT
33,s1,0.0348,M,WT
34,sil,0.0034,M,WT
35,s2,0.0251,M,WT
36,s1,0.0214,M,WT
37,sil,0.0143,M,WT
38,s2,0.0246,M,WT
39,s1,0.0271,M,WT
40,sil,0.0193,M,WT
41,s2,0.0216,M,WT
42,s1,0.0174,M,WT
43,sil,0.0109,M,WT
44,s2,0.0183,M,WT
45,s1,0.0191,M,WT
46,sil,0.0138,M,WT
47,s2,0.0573,M,WT
48,s1,0.0152,M,WT
49,sil,0.0128,M,WT
50,s2,0.0512,M,WT
51,s1,0.0242,M,WT
52,sil,0.0010,M,WT
53,s2,0.0613,M,WT
54,s1,0.0231,M,WT
55,sil,0.0050,M,WT
56,s2,0.0573,M,WT
57,s1,0.0161,M,WT
58,sil,0.0105,M,WT
59,s2,0.0530,M,WT
60,s1,0.0144,M,WT
61,sil,0.0013,M,WT
62,s2,0.0561,M,WT
63,s1,0.0289,M,WT
64,sil,0.0135,M,WT
65,s2,0.0233,M,WT
66,s1,0.0198,M,WT
67,sil,0.0087,M,WT
68,s2,0.0599,M,WT
69,s1,0.0351,M,WT
70,sil,0.0056,M,WT
71,s2,0.0282,M,WT
72,s1,0.0329,M,WT
73,sil,0.0081,M,WT
74,s2,0.0289,M,WT
75,s1,0.0253,M,WT
76,sil,0.0147,M,WT
77,s2,0.0246,M,WT
